pk,Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Orbital Epoch Value,Epoch Uncertainty,Orbital Period (days) Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Planet Number,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Alerted,Updated
163641,qlp-s73-ffi,QLP,116608612,1649.01,PC,85.6632232,35.1857962,85.6632098066,35.1857078969,9.17,0.006,3310.7184753,0.0004399,3.4557863,1.5e-06,2.164,0.261,6423.0,303.276,"[19, 43, 44, 45, 59, 73]",possibly synchronized; possible secondary; possible centroid offset; retired as TFOP FP/SEB1,4.24,0.08,1,1.78,0.06,16.0772,0.62301,2058.0,8170.0,258.8,2978.62,200.0,False,5,5,5,5,5,5,5,2020-01-29 22:18:55.296000+00:00,2025-08-21 22:05:16.400000+00:00
161901,spoc-s14-s60-b0A-PC,QLP,434718964,1512.01,EB,345.4880663,64.0673366,345.488066324,64.0673366409,10.262,1.0,2854.931267803952,0.004935281,1.5972260203264574,0.00023338028,5.372172185148052,0.33115005,3834.126062069565,168.50876,"[17, 18, 57, 58]",No stellar info; could be evolved or a small star; if evolved then likely EB; centroid offset centered near another star in spoc-s57; TFOP FP/NEB,,,1,,,,0.0,1559.2651197946814,,,1397.014319467058,15.772523,False,5,5,5,5,5,5,5,2019-12-05 21:41:10+00:00,2023-05-19 16:51:28.696000+00:00
150000,qlp-s74-ffi,QLP,160268701,1143.01,EB,182.5393661,77.3522457,182.538652351,77.3522637106,8.633,0.006,3352.7340567,0.0016401,11.2071839,2.86e-05,4.366,0.212,3276.0,656.96,"[14, 20, 21, 40, 41, 47, 53, 60, 74]",TFOPWG FP Retired as SB1,3.84,0.09,1,2.24,0.1,17.4989,1.38618,1487.0,6152.0,75.9,813.063,133.0,False,5,5,5,5,5,5,5,2019-08-27 16:09:26+00:00,2024-03-04 12:10:54.855000+00:00
166359,qlp-s52-tois,SPOC,198241702,1269.02,PC,249.697075,64.558693,249.696639713,64.5591810065,10.948,0.034,2739.0970323,0.0034659,9.2378703,5.34e-05,2.535,0.305,660.0,0.942831,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52]",Level 1 candidate; potential multi,4.38111,0.0,2,0.8489059805870056,0.0452839,2.22995,0.14957,757.0,5591.0,185.0,54.6767,13.0,False,2,4,1,1,4,4,4,2020-02-26 20:41:12.605700+00:00,2022-11-18 18:41:55.784000+00:00
7635388,qlp-s92-faintsearch,FAINT,301271430,7801.02,PC,351.325505201,-2.06952583338,351.325812167,-2.06937551182,10.2034,0.006,3819.4907677238502,0.0036046036356013,8.248515616605527,6.675520456204326e-05,3.1106730716850066,0.938620867833792,942.9139871220858,81.32192880749224,"[42, 70, 92]",found in faint-star QLP search; potential multi; L1 candidate,4.56473,0.0830266,1,0.849931,0.0453995,2.432746627824094,0.2327297035493879,1244.818172240709,5508.0,129.529,398.6126891671755,20.220913055487035,False,2,4,1,1,4,4,4,2026-06-04 21:18:15.627794+00:00,2026-06-03 22:47:57.500000+00:00
161913,qlp-s18-ffi,QLP,270238522,1514.01,EB,351.6484601,64.3047217,351.6484168,64.3046993686,7.559,0.006,1765.47636,0.00629,1.36991,0.00028,4.156,0.285,1170.0,1.20653,"[17, 18]",TFOP FP; retired as NEB,3.56,0.08,1,3.64,0.15,11.8886,0.65532,3254.0,7339.8,150.7,18625.3,20.0,False,5,5,5,5,5,5,5,2019-12-05 21:41:10+00:00,2021-03-26 18:02:25.430000+00:00
234905,qlp-s39-faintsearch,SPOC/FAINT,293075732,6882.01,EB,254.2422102,-68.7097568,254.242045244,-68.7098462473,12.773,0.006,3098.202956604657,0.003693938,0.5666806,6.1e-06,0.722,0.573,1530.0,169.045,"[12, 39, 66]",low SNR; multiple stars in pixel; near neighbor TIC 293075734 (Tmag~18.4); possible odd-even; a/R* ~ 1.7; slightly evolved host; also found in faint-star QLP search; retired as TFOP FP/NEB,3.99,0.08,1,1.65,0.08,8.04611,2.39727,1610.0,5517.0,123.9,1116.17,9.0,False,3,4,3,3,4,4,4,2024-02-01 21:36:43.104959+00:00,2024-09-09 17:31:44.532000+00:00
48811,qlp-s32-tois,QLP,434234955,944.01,EB,63.8110787,14.9448517,63.8110953179,14.9448394272,11.382,0.008,2196.6994297,0.0025882,6.0588453,3.38e-05,4.084,0.372,2740.0,851.775,"[5, 32]",Hint of secondary may be driven by momentum dumps in second orbit.,3.51,0.09,1,3.6,0.23,35.2541,11.7813,2249.0,7011.0,107.1,4249.82,25.0,False,5,5,5,5,5,5,5,2019-07-24 14:30:01+00:00,2024-09-06 20:24:41.144000+00:00
162137,spoc-s58-b0A,QLP,445137888,1536.01,EB,11.3024008,56.0700654,11.3023997873,56.0700582102,10.365,0.033,2882.9513150288685,0.0038898839,2.013653033674167,0.00048759262,2.1214907400669603,0.19407736,822.8974251597198,76.83918,"[17, 18, 58]",Some depth-aperture correlation; strong centroid offset towards another star in spoc-s58-b0A; retired as TFOP FP/NEB,4.01,0.1,1,2.6771299839019775,0.257347,9.026907378560466,1.0058509,3580.9202251548413,10310.0,617.1,38859.71273341469,10.465393,False,5,5,5,5,5,5,5,2019-12-05 21:41:10+00:00,2023-08-02 18:10:57.430000+00:00
7501046,spoc-s14-s78-b0A-PC,SPOC,461491274,4016.02,PC,5.2779319,66.8323442,5.27795924784,66.8323437268,13.122,0.006,2886.075234876969,0.0027899328,4.396200882903183,3.8740694e-05,3.949694850128392,0.42967677,4441.97113177135,498.5092,"[58, 78]",potential multi; low SNR; no stellar radius,,,2,,,,,1112.6269618552797,4032.5,113.0,362.1757107048502,9.092153,False,3,4,3,3,4,4,4,2025-07-17 18:08:56.691140+00:00,2025-07-17 17:03:46.700000+00:00
